COD IBGE;UF;Município;Populaçao;RENDA1;RENDA2;EDUC1;EDUC2;IEOC;ENDcont1;ENDcont2;IGD;IGDu;IGDe;IGDm;IDI;CP1;CP2;N;NE;CO;S;SE;ESQ;DIR;CENTRO;CPP;CPG;ME;TG;TA;TP;BP
5106281;MT;NOVO SÃO JOAQUIM;5465;451.69;0.497;16;0.770917425;1.37712732;-0.101696301;0.034391499;0.966808131;0.376705896;0.465502888;0.124599347;0.384869257;0.492814393;1.971664783;0;0;1;0;0;0;0;1;0;0;0;8.5;8.928571429;8.620689655;6.666666667
4313441;RS;NOVO TIRADENTES;2325;534;0.4177;13;0.867309524;1.381140079;-0.289354636;0.627034362;0.756547645;0.536564638;0.152457797;0.067525209;0.087630547;0.48309775;1.934601756;0;0;0;1;0;0;0;1;0;1;0;5.9;6.964285714;6.896551724;0
3145372;MG;NOVORIZONTE;5226;297.25;0.4386;21.1;0.823764457;1.294327777;-0.056537247;0.061946722;0.982068433;0.662714025;0.182762249;0.13659216;0.126489738;0.573324055;2.343699034;0;0;0;0;1;0;0;1;0;0;1;6.6;7.321428571;8.620689655;0
3533601;SP;NUPORANGA;7210;745.3;0.4488;5.7;0.9875;1.216512615;-0.00339989;0.240418467;0.912368776;0.325266365;0.444124017;0.142978394;0.091304698;0.588638196;2.430950054;0;0;0;0;1;0;0;1;0;0;1;5.3;6.785714286;5.172413793;0
2207009;PI;OEIRAS;36266;372.24;0.5873;23.8;0.720088756;1.212181056;-0.130500122;0.115675015;0.917808186;0.487654623;0.102997062;0.3271565;0.063258486;0.539342444;2.170809935;0;1;0;0;0;1;0;0;0;0;1;7.4;6.964285714;8.620689655;6.666666667
3145406;MG;OLARIA;1935;417.95;0.4222;18.1;0.785799086;1.188257798;0.89120183;1.427949138;0.979937877;0.733909923;0.152383942;0.093644012;0.047187672;0.498657344;1.994643758;0;0;0;0;1;0;0;1;0;0;1;8.1;8.75;7.586206897;6.666666667
3533908;SP;OLÍMPIA;53010;771.53;0.4429;4.9;0.942908442;1.21955127;0.107420446;0.195664272;0.538412788;0.231271785;0.205461509;0.101679493;0.102571864;0.417706346;1.717346553;0;0;0;0;1;0;1;0;0;0;1;7;7.321428571;10;0
3145505;MG;OLÍMPIO NORONHA;2700;453.07;0.4065;14.2;0.762722434;1.538873042;2.003079191;2.993068334;0.849595552;0.571616721;0.200482648;0.077496183;0.042438243;0.478608607;1.917944971;0;0;0;0;1;0;1;0;0;0;1;1.7;0.714285714;4.482758621;0
2609600;PE;OLINDA;388821;621.73;0.5678;6.5;0.65189582;1.095445905;9.138658557;9.541986785;0.688174522;0.309449675;0.26364306;0.115081787;0.057224656;0.576035201;2.358686385;0;1;0;0;0;0;0;1;0;0;0;5.4;6.607142857;5.862068966;0
2923100;BA;OLINDINA;26722;208.28;0.5967;27.3;0.564697806;1.125504672;0.097717406;0.184295457;1.024803433;0.568981221;0.076127515;0.379694697;0.040938806;0.504706174;2.019003563;0;1;0;0;0;0;0;1;0;0;1;6.8;6.964285714;10;0
